Product,Product_Link,Product_Image,Rating,Rating_Volumes,Price,Color_Type
TECHFIRE Fire 145- 40 Hours Playtime with superior sound Neckband Headphone Bluetooth Headset,https://www.flipkart.com/techfire-fire-145-40-hours-playtime-superior-sound-neckband-headphone-bluetooth-headset/p/itm826b8bd304173,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/headphone/c/x/k/fire-145-40-hours-playtime-with-superior-sound-neckband-original-imagccrwtnh2rru5.jpeg?q=70,3.8,"9,330",399,"Blue, True Wireless"
realme Buds Wireless 2 Neo with Type-C Fast Charge & Bass Boost+ Bluetooth Headset,https://www.flipkart.com/realme-buds-wireless-2-neo-type-c-fast-charge-bass-boost-bluetooth-headset/p/itm64e67d64bd846,https://rukminim1.flixcart.com/image/612/612/ksqeky80/headphone/3/l/n/rma2011-realme-original-imag68fqfqbydmrx.jpeg?q=70,4.2,"1,53,480","1,499","Black, In the Ear"
"Boult Audio Airbass Probuds with Quad-mic ENC, 24hrs Playtime, Fastest Charging Bluetooth Headset",https://www.flipkart.com/boult-audio-airbass-probuds-quad-mic-enc-24hrs-playtime-fastest-charging-bluetooth-headset/p/itmfc5962bca360c,https://rukminim1.flixcart.com/image/612/612/l26hdow0/headphone/r/z/j/-original-imagdkrambh34shr.jpeg?q=70,3.6,"2,647","1,499","Black, True Wireless"
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17 Hours Playback Bluetooth Headset",https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-hours-playback-bluetooth-headset/p/itm8a7493150ae4a,https://rukminim1.flixcart.com/image/612/612/l4n2oi80/headphone/d/y/c/-original-imagfhvrmmde882k.jpeg?q=70,4.2,"13,257","1,399","Pebble Black, True Wireless"
WeCool H1 True Wireless Bluetooth Earbuds with 30 Hours Play time and AI Powered ENC Bluetooth Headset,https://www.flipkart.com/wecool-h1-true-wireless-bluetooth-earbuds-30-hours-play-time-ai-powered-enc-headset/p/itm9f7df3a566ba8,https://rukminim1.flixcart.com/image/612/612/l3vxbbk0/headphone/t/6/w/h1-true-wireless-bluetooth-earbuds-with-30-hours-play-time-and-original-imagewrunskpegrh.jpeg?q=70,4.5,143,799,"Black, True Wireless"
realme Buds Wireless 2 Neo with Type-C Fast Charge & Bass Boost+ Bluetooth Headset,https://www.flipkart.com/realme-buds-wireless-2-neo-type-c-fast-charge-bass-boost-bluetooth-headset/p/itm342ebcfc6e12b,https://rukminim1.flixcart.com/image/612/612/ksqeky80/headphone/x/r/m/rma2011-realme-original-imag68fe7xdnavuh.jpeg?q=70,4.2,"1,53,480","1,499","Blue, In the Ear"
Boult Audio ProBass Escape Bluetooth Headset,https://www.flipkart.com/boult-audio-probass-escape-bluetooth-headset/p/itm153e08377b0d3,https://rukminim1.flixcart.com/image/612/612/kw9krrk0/headphone/e/o/v/-original-imag8z6hnau6gwpq.jpeg?q=70,3.9,"27,234",899,"Blue, In the Ear"
Grostar TWS Wireless Earbuds Bluetooth 5.0 Headset with Charging Box Touch Control Bluetooth Headset,https://www.flipkart.com/grostar-tws-wireless-earbuds-bluetooth-5-0-headset-charging-box-touch-control/p/itm1a91cab13ec12,https://rukminim1.flixcart.com/image/612/612/ktx9si80/headphone/o/k/x/02pkh-in-pods-12-stereo-black-touch-control-bluetooth-headset-original-imag75ux4ac7udua.jpeg?q=70,3.6,"2,861",399,"Black, True Wireless"
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,https://www.flipkart.com/aroma-nb119-advance-40-hours-playtime-bluetooth-neckband-headset/p/itmdabd92dce4806,https://rukminim1.flixcart.com/image/612/612/kxdl3m80/headphone/y/w/n/nb119-advance-40-hours-playtime-bluetooth-neckband-aroma-original-imag9ukyh5tqzwsp.jpeg?q=70,4,"17,831",449,"Yellow, In the Ear"
OPPO Enco Buds With 24 hours Battery Life Bluetooth Headset,https://www.flipkart.com/oppo-enco-buds-24-hours-battery-life-bluetooth-headset/p/itmb33414a207ad3,https://rukminim1.flixcart.com/image/612/612/kura1e80/headphone/4/q/c/eti81-eti82-oppo-original-imag7szsu66kqugv.jpeg?q=70,4.1,"70,645","1,699","Blue, True Wireless"
"Boult Audio Airbass Probuds with Quad-mic ENC, 24hrs Playtime, Fastest Charging Bluetooth Headset",https://www.flipkart.com/boult-audio-airbass-probuds-quad-mic-enc-24hrs-playtime-fastest-charging-bluetooth-headset/p/itm8499a7defd0b2,https://rukminim1.flixcart.com/image/612/612/l26hdow0/headphone/2/o/z/-original-imagdkscmq7hf8ns.jpeg?q=70,3.6,"2,647","1,499","White, True Wireless"
boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset,https://www.flipkart.com/boat-rockerz-333-upto-30-hours-battery-bluetooth-headset/p/itm440b63a79315a,https://rukminim1.flixcart.com/image/612/612/kqttg280/headphone/x/g/g/rockerz-333-boat-original-imag4r33bwfttdgn.jpeg?q=70,4,"1,62,520","1,299","Teal Green, In the Ear"
"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Drivers and IWP Technology Bluetooth Headset",https://www.flipkart.com/boat-airdopes-131-upto-15-hours-playback-13mm-drivers-iwp-technology-bluetooth-headset/p/itmc0157ae57bf52,https://rukminim1.flixcart.com/image/612/612/ksdjma80/headphone/u/4/o/airdopes-131-airdopes-138-boat-original-imag5yzacvxdzu6p.jpeg?q=70,4.1,"9,07,758",999,"Cherry Blossom, True Wireless"
HOPPUP GRAND With Power Bank Function & Upto 75 Hours Playtime Bluetooth Headset,https://www.flipkart.com/hoppup-grand-power-bank-function-upto-75-hours-playtime-bluetooth-headset/p/itm78432c29de9a6,https://rukminim1.flixcart.com/image/612/612/kziqvm80/headphone/p/i/o/grand-with-power-bank-function-upto-75-hours-playtime-hoppup-original-imagbgdxxw55pgar.jpeg?q=70,3.9,"10,597",799,"Black, True Wireless"
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17 Hours Playback Bluetooth Headset",https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-hours-playback-bluetooth-headset/p/itm44896573d8f03,https://rukminim1.flixcart.com/image/612/612/l4n2oi80/headphone/r/u/9/-original-imagfhvku7tvbjwx.jpeg?q=70,4.2,"13,257","1,399","Pearl White, True Wireless"
